epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.61727,1.58571,3.76569,1.76061,0.00405,0.59343,0.022,0.00457,1.42617,3.52605,1.54607,0.00011669,0.00011669,0.00011669
2,11.6966,1.29908,3.24828,1.35708,0.00516,0.73232,0.40213,0.28392,1.28501,3.11675,1.19511,0.000249225,0.000249225,0.000249225
3,13.5762,1.29861,2.43299,1.28722,0.00548,0.77525,0.57243,0.40087,1.24504,3.05228,1.19617,0.000380879,0.000380879,0.000380879
4,15.3478,1.14311,1.79822,1.21994,0.00549,0.74621,0.45121,0.30354,1.21848,2.95013,1.18176,0.000511654,0.000511654,0.000511654
5,17.0611,1.1084,1.62494,1.2254,0.00568,0.78788,0.49391,0.3329,1.24415,2.84532,1.13172,0.000641548,0.000641548,0.000641548
6,18.7709,1.12352,1.46851,1.13978,0.93322,0.09623,0.41887,0.23867,1.31497,2.78517,1.2208,0.000770562,0.000770562,0.000770562
7,20.4858,1.09625,1.42456,1.12847,0.86652,0.13258,0.40542,0.22313,1.37824,2.71623,1.30952,0.000898696,0.000898696,0.000898696
8,22.1381,1.18471,1.51394,1.16368,0.4937,0.34241,0.71214,0.38159,1.26741,2.42784,1.29826,0.00102595,0.00102595,0.00102595
9,23.8259,1.03363,1.36773,1.09887,0.81187,0.34912,0.59365,0.38951,1.25561,2.34237,1.28476,0.00115232,0.00115232,0.00115232
10,25.5081,1.09544,1.32992,1.1406,0.69039,0.49525,0.56171,0.35024,1.37337,2.27974,1.3495,0.00127782,0.00127782,0.00127782
11,27.219,1.22216,1.38642,1.22926,0.53217,0.59975,0.58234,0.38724,1.36105,2.15591,1.40906,0.00140243,0.00140243,0.00140243
12,28.8904,1.16549,1.34534,1.15938,0.81678,0.37517,0.42708,0.28109,1.31019,2.15978,1.28157,0.00152616,0.00152616,0.00152616
13,30.5147,1.05674,1.26231,1.14644,0.47501,0.40865,0.45616,0.31503,1.2624,2.14532,1.314,0.00160099,0.00160099,0.00160099
14,32.1261,1.11612,1.28475,1.16014,0.37706,0.5,0.48067,0.29702,1.42048,2.03924,1.54163,0.00159549,0.00159549,0.00159549
15,33.7574,1.06802,1.17481,1.13611,0.79145,0.55951,0.68226,0.44571,1.27339,1.66639,1.40554,0.00158998,0.00158998,0.00158998
16,35.3892,1.10829,1.23858,1.14703,0.54463,0.56465,0.58638,0.36668,1.39517,1.76641,1.39857,0.00158448,0.00158448,0.00158448
17,37.0124,1.20464,1.24254,1.19534,0.86788,0.6095,0.73639,0.44643,1.40355,1.70435,1.42846,0.00157898,0.00157898,0.00157898
18,38.6562,1.16419,1.18651,1.1619,0.88277,0.63005,0.77327,0.47977,1.31078,1.54594,1.25953,0.00157348,0.00157348,0.00157348
19,40.314,1.04099,1.11652,1.13174,0.84472,0.54564,0.74695,0.46455,1.29791,1.77564,1.25867,0.00156798,0.00156798,0.00156798
